PLAYER_ID,PLAYER_NAME,TEAM_ABBREVIATION,AGE,GP,MIN,PTS,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,AST,TOV,REB,PLUS_MINUS
1630579,Jericho Sims,MIL,26.0,53,11.9,1.8,0.8,1.3,0.634,0.0,0.0,0.0,0.2,0.2,0.615,0.6,0.6,3.7,0.5
1641724,Jett Howard,ORL,21.0,60,11.7,4.5,1.6,4.4,0.374,0.9,3.1,0.296,0.3,0.4,0.696,0.7,0.6,1.2,-1.4
202710,Jimmy Butler III,GSW,35.0,55,31.7,17.5,5.5,10.9,0.504,0.6,1.9,0.308,6.0,7.1,0.842,5.4,1.3,5.4,4.5
1629111,Jock Landale,HOU,29.0,42,11.9,4.8,1.9,3.6,0.533,0.3,0.6,0.423,0.6,1.0,0.675,0.9,0.5,3.3,-0.6
1628381,John Collins,UTA,27.0,40,30.5,19.0,7.0,13.3,0.527,1.5,3.7,0.399,3.5,4.1,0.848,2.0,2.6,8.2,-0.4
1629723,John Konchar,MEM,29.0,46,12.1,2.4,0.9,2.0,0.451,0.5,1.3,0.371,0.2,0.2,0.875,0.9,0.3,3.3,1.3
1642277,Johnny Furphy,IND,20.0,50,7.6,2.1,0.7,1.8,0.38,0.3,1.0,0.3,0.4,0.4,0.818,0.4,0.2,1.4,0.4
1630548,Johnny Juzang,UTA,24.0,64,19.8,8.9,3.2,7.4,0.429,1.8,4.9,0.376,0.7,0.8,0.849,1.1,0.6,2.9,-5.6
202685,Jonas Valančiūnas,SAC,33.0,81,18.8,10.4,4.3,7.7,0.55,0.1,0.5,0.216,1.8,2.0,0.879,2.0,1.5,7.7,-3.8
1628371,Jonathan Isaac,ORL,27.0,71,15.4,5.4,1.9,4.6,0.414,0.5,2.1,0.258,1.0,1.5,0.682,0.6,0.5,4.4,-0.5
1630228,Jonathan Kuminga,GSW,22.0,47,24.3,15.3,5.5,12.1,0.454,1.0,3.2,0.305,3.3,5.0,0.668,2.2,1.5,4.6,0.2
1642367,Jonathan Mogbo,TOR,23.0,63,20.4,6.2,2.5,5.7,0.438,0.3,1.1,0.243,1.0,1.3,0.732,2.3,1.1,4.9,-3.8
1641722,Jordan Hawkins,NOP,23.0,56,23.6,10.8,3.7,9.9,0.372,2.0,5.9,0.331,1.4,1.8,0.816,1.2,1.0,2.8,-5.7
1629162,Jordan McLaughlin,SAS,29.0,46,6.8,2.1,0.7,1.6,0.431,0.4,1.0,0.413,0.4,0.5,0.773,1.1,0.3,0.7,1.2
1629673,Jordan Poole,WAS,26.0,68,29.4,20.5,6.7,15.5,0.432,3.5,9.1,0.378,3.6,4.0,0.883,4.5,3.0,3.0,-8.2
1641775,Jordan Walsh,BOS,21.0,52,7.8,1.6,0.6,1.6,0.361,0.3,1.1,0.273,0.1,0.2,0.583,0.4,0.3,1.3,0.5
1630631,Jose Alvarado,NOP,27.0,56,24.4,10.3,3.6,9.3,0.392,2.0,5.5,0.359,1.1,1.3,0.811,4.6,1.5,2.4,-4.1
1630581,Josh Giddey,CHI,22.0,70,30.2,14.6,5.3,11.4,0.465,1.5,4.0,0.378,2.5,3.2,0.781,7.2,2.9,8.1,-1.0
1630182,Josh Green,CHA,24.0,68,27.8,7.4,2.6,6.2,0.428,1.4,3.6,0.391,0.7,1.1,0.681,1.6,1.0,2.5,-5.4
