SEASON,PLAYER_ID,PLAYER_NAME,TEAM_ABBREVIATION,GP,MIN,OFF_RATING,DEF_RATING,NET_RATING,AST_PCT,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,TM_TOV_PCT,EFG_PCT,TS_PCT,USG_PCT,PACE,PIE
2024-25,203507,Giannis Antetokounmpo,MIL,67,34.2,118.9,111.7,7.2,0.339,19.2,0.067,0.266,0.172,9.1,0.607,0.625,0.346,100.18,0.21
2024-25,1629048,Goga Bitadze,ORL,70,20.4,110.1,107.4,2.7,0.142,22.6,0.116,0.227,0.169,11.9,0.615,0.631,0.142,95.8,0.134
2024-25,1641711,Gradey Dick,TOR,54,29.4,110.3,116.1,-5.8,0.087,10.9,0.027,0.092,0.059,9.3,0.498,0.543,0.209,101.36,0.071
2024-25,1628960,Grayson Allen,PHX,64,24.1,114.7,118.0,-3.3,0.125,18.2,0.023,0.103,0.064,10.0,0.6,0.631,0.169,100.84,0.084
2024-25,1627824,Guerschon Yabusele,PHI,70,27.1,113.5,116.7,-3.2,0.114,17.2,0.07,0.149,0.108,10.1,0.593,0.616,0.163,97.28,0.092
2024-25,1630611,Gui Santos,GSW,56,13.6,117.8,107.3,10.6,0.138,25.1,0.085,0.127,0.106,13.2,0.553,0.575,0.126,99.78,0.073
2024-25,203084,Harrison Barnes,SAS,82,27.2,114.5,115.6,-1.2,0.085,14.2,0.042,0.091,0.067,5.2,0.622,0.656,0.157,100.08,0.092
2024-25,1629312,Haywood Highsmith,MIA,74,24.6,111.8,110.4,1.4,0.084,19.5,0.04,0.098,0.069,9.4,0.572,0.583,0.111,97.33,0.057
2024-25,1641816,Hunter Tyson,DEN,51,7.8,98.5,108.7,-10.2,0.074,12.0,0.055,0.124,0.088,8.4,0.471,0.506,0.146,104.6,0.057
2024-25,1630193,Immanuel Quickley,TOR,33,27.8,109.0,110.7,-1.6,0.32,25.7,0.016,0.107,0.06,7.8,0.517,0.57,0.246,101.44,0.128
2024-25,1642403,Isaac Jones,SAC,40,7.6,104.6,115.1,-10.5,0.057,9.5,0.071,0.12,0.095,12.7,0.669,0.678,0.152,102.68,0.087
2024-25,1630171,Isaac Okoro,CLE,55,19.1,122.1,109.7,12.5,0.078,17.9,0.047,0.072,0.06,6.1,0.569,0.587,0.124,100.08,0.057
2024-25,1642268,Isaiah Collier,UTA,71,25.9,108.3,118.6,-10.4,0.342,34.9,0.017,0.104,0.061,16.3,0.459,0.494,0.186,102.44,0.077
2024-25,1628392,Isaiah Hartenstein,OKC,57,27.9,118.3,105.3,13.0,0.178,25.9,0.103,0.262,0.185,11.3,0.581,0.599,0.165,101.56,0.138
2024-25,1630198,Isaiah Joe,OKC,74,21.7,119.9,104.1,15.8,0.096,15.6,0.025,0.089,0.058,5.0,0.604,0.617,0.166,102.23,0.089
2024-25,1630191,Isaiah Stewart,DET,72,19.9,109.1,108.6,0.5,0.12,22.7,0.086,0.17,0.129,12.5,0.586,0.616,0.121,101.75,0.096
2024-25,1627826,Ivica Zubac,LAC,80,32.8,116.5,107.1,9.4,0.121,15.5,0.122,0.271,0.199,9.2,0.628,0.641,0.192,98.55,0.157
