PLAYER_ID,PLAYER_NAME,TEAM_ABBREVIATION,AGE,GP,MIN,PTS,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PLUS_MINUS
1641724,Jett Howard,ORL,21.0,60,701.1066666666667,267,98,262,0.374,55,186,0.296,16,23,0.696,20,50,70,44,13,11,36,68,-86
1628975,Jevon Carter,CHI,29.0,36,320.5733333333333,153,55,146,0.377,35,105,0.333,8,10,0.8,4,35,39,40,13,3,11,15,37
202710,Jimmy Butler III,GSW,35.0,55,1746.135,964,301,597,0.504,32,104,0.308,330,392,0.842,125,171,296,298,77,18,74,52,246
1629111,Jock Landale,HOU,29.0,42,500.0233333333333,200,81,152,0.533,11,26,0.423,27,40,0.675,56,81,137,37,13,10,21,49,-25
1628381,John Collins,UTA,27.0,40,1220.4916666666666,758,280,531,0.527,59,148,0.399,139,164,0.848,89,238,327,80,39,40,103,116,-16
1629723,John Konchar,MEM,29.0,46,558.2233333333334,112,41,91,0.451,23,62,0.371,7,8,0.875,37,114,151,42,30,14,16,32,58
1631098,Johnny Davis,WAS,23.0,34,241.65833333333333,80,32,78,0.41,7,29,0.241,9,15,0.6,10,28,38,11,15,6,7,18,-26
1642277,Johnny Furphy,IND,20.0,50,379.49666666666667,103,35,92,0.38,15,50,0.3,18,22,0.818,23,48,71,19,18,11,12,41,22
1630548,Johnny Juzang,UTA,24.0,64,1269.83,571,204,475,0.429,118,314,0.376,45,53,0.849,42,142,184,68,39,8,36,126,-357
202685,Jonas Valančiūnas,SAC,33.0,81,1523.7633333333333,843,345,627,0.55,8,37,0.216,145,165,0.879,190,437,627,164,37,46,120,181,-304
1628371,Jonathan Isaac,ORL,27.0,71,1090.015,380,134,324,0.414,39,151,0.258,73,107,0.682,120,194,314,40,61,80,33,90,-38
1630228,Jonathan Kuminga,GSW,22.0,47,1144.08,719,258,568,0.454,46,151,0.305,157,235,0.668,56,161,217,104,38,21,71,90,8
1642367,Jonathan Mogbo,TOR,23.0,63,1285.655,389,156,356,0.438,17,70,0.243,60,82,0.732,109,202,311,146,55,34,70,136,-241
203903,Jordan Clarkson,UTA,33.0,37,962.47,600,201,493,0.408,84,232,0.362,114,143,0.797,25,93,118,138,31,9,86,52,-204
1641722,Jordan Hawkins,NOP,23.0,56,1320.5,604,207,556,0.372,110,332,0.331,80,98,0.816,25,133,158,66,30,23,58,51,-317
1629162,Jordan McLaughlin,SAS,29.0,46,314.27666666666664,98,31,72,0.431,19,46,0.413,17,22,0.773,6,24,30,51,16,1,16,18,57
1641757,Jordan Miller,LAC,25.0,37,420.31,152,58,134,0.433,8,38,0.211,28,35,0.8,23,35,58,34,17,5,26,26,-63
1629673,Jordan Poole,WAS,26.0,68,2000.8866666666668,1391,457,1057,0.432,235,622,0.378,242,274,0.883,31,172,203,303,86,27,204,201,-558
1641775,Jordan Walsh,BOS,21.0,52,403.00333333333333,82,30,83,0.361,15,55,0.273,7,12,0.583,23,46,69,19,12,11,17,30,25
1630631,Jose Alvarado,NOP,27.0,56,1365.9,579,204,521,0.392,111,309,0.359,60,74,0.811,27,109,136,259,74,14,86,91,-232
1630581,Josh Giddey,CHI,22.0,70,2116.641666666667,1022,371,798,0.465,105,278,0.378,175,224,0.781,127,439,566,503,84,45,202,122,-68
1630182,Josh Green,CHA,24.0,68,1887.5033333333333,506,180,421,0.428,97,248,0.391,49,72,0.681,56,116,172,108,74,15,70,165,-364
1628404,Josh Hart,NYK,30.0,77,2896.83,1051,404,770,0.525,84,252,0.333,159,205,0.776,161,576,737,453,119,27,158,201,203
